user_identifier,total_purchase,total_rake,total_rake_apd,total_games
18955681,130,89.85,2,354
18995050,75,21.43,2,117
19092236,100,65.72,1,71
19104833,100,8,1,4
19145477,25,4,1,2
19206757,100,9.82,2,12
19265654,700,287,2,40
19310121,25,0.28,1,3
19316349,150,27.33,1,5
19327984,50,11.41,2,62
19354036,100,6.33,1,10
19410158,100,20.69,1,36
19436087,150,30,1,5
19575997,25,48.49,2,120
19725067,100,22.27,2,19
19749375,50,13.45,1,115
19772137,50,9.99,1,28
19809600,50,6.63,1,7
19816204,100,20.83,1,5
19835550,100,29.08,1,12
19852623,50,56.67,1,32
19876266,500,60,1,2
19921384,50,19.93,2,9
19937059,50,77.21,2,54
19997838,100,19,1,6
20005023,100,17.5,1,3
20012855,50,16.7,1,23
20054399,50,8,1,2
20118516,100,32.12,1,22
20121972,50,8,1,1
20132508,50,10.94,1,26
20197799,500,0,0,0
20224024,100,11.32,1,4
20273664,500,26.58,1,13
20326648,100,60,2,15
20329661,100,15.99,1,13
20334257,50,0,0,2
20374911,50,4,1,1
20386618,150,106.11,2,41
20389647,50,3.99,1,6
20500947,25,10.47,1,9
20518017,500,111.99,1,60
20521032,25,2.27,1,1
20586650,50,8,1,1
20644208,225,92,1,15
20645183,25,3.46,1,8
20805059,50,4,1,1
20918067,50,0,0,0
20940006,50,4.25,1,30
20989511,50,55.43,2,177
21021383,100,24.54,1,16
21022401,50,15,2,10
21024313,50,5.78,1,12
21046282,100,48.46,1,45
21048911,25,3.75,1,5
21062092,500,60,1,2
21066843,1200,602.59,2,73
21117854,200,62.5,2,165
21124940,50,9.55,1,6
21223856,100,4,1,1
21225950,100,48.63,2,45
21238667,100,6.75,1,7
21282914,100,131.99,2,187
21306691,525,83.12,1,4
21313747,100,16,1,1
21386312,100,18.84,1,7
21387203,100,36.27,1,42
21395162,500,214.33,1,25
21449008,50,0.38,1,1
21479961,100,15,1,1
21524963,100,0.42,1,6
21534091,550,202.7,1,40
21550361,100,16,1,2
21560068,100,6.66,1,4
21670180,25,4,1,1
21818876,1000,119.87,1,11
21888368,50,8.75,1,2
21919141,200,73.44,1,63
21941790,100,12.89,1,55
22031804,100,17.25,1,3
22055423,100,23.91,1,52
22133215,100,14.34,1,32
22152041,100,47.83,1,14
22192504,25,1.5,1,1
22197678,50,11.31,1,14
22327414,100,11.57,2,8
22498052,25,3.66,2,41
22499214,300,131.52,1,39
22512530,50,8.5,1,3
22546227,150,43.33,1,22
22551313,2000,240,1,1
22556642,50,8,1,2
22657141,50,0,0,0
22695625,125,75.5,2,62
22715568,100,24.81,1,11
22787979,40,69.76,2,38
22803313,100,23,1,2
22976207,100,530.11,2,288
23087172,50,10,1,6
23103075,50,0,0,2
23141971,30,4.08,1,2
23153897,250,210.5,2,39
23298569,25,0,0,1
23335097,50,16,1,3
23376789,100,266.67,2,30
23421954,50,14.66,1,18
23497170,25,0,0,1
23497981,50,9.21,1,15
23506843,700,556.46,1,72
23609334,50,0.1,1,1
23686253,50,5.48,1,6
23752800,100,18,1,3
23781543,200,57.42,1,10
23787838,100,9.29,1,11
23827385,25,3.21,1,6
23833503,100,25.2,1,4
23856849,100,166.1,1,14
23874990,100,8.25,1,3
23928089,50,20.39,1,12
23956950,50,6,1,4
24008812,50,18.75,2,13
24016808,100,4,1,1
24016821,100,18,1,3
24039759,50,7.5,1,6
24103574,200,64,2,103
24149072,50,2.63,2,35
24256652,49000,27077.15,2,239
24287884,45,0,0,1
24288879,25,0.75,1,1
24359313,350,388.91,2,151
24445324,100,32.16,2,87
24496874,50,44.29,2,231
24534955,50,7.8,1,51
24576725,50,2.73,1,6
24598152,100,7.97,1,12
24599077,100,18,1,3
24636800,25,8.07,1,38
24641015,100,60.67,1,22
24645570,800,192,1,13
24650929,100,30.67,1,6
24764785,50,0.17,1,2
24809564,300,16,1,4
24819658,50,47.27,2,32
24852659,500,504.4,2,10
24871395,25,8.32,2,41
24909634,100,54.62,2,257
24986702,50,2.38,1,8
25006861,100,23.83,1,4
25015244,100,11.97,1,49
25026070,50,12.59,1,16
25088160,50,16.42,1,24
25130136,50,4.5,1,3
25139375,100,6.2,1,15
25164614,130,32,1,4
25165527,100,227.58,2,346
25174717,2000,271.74,1,25
25201632,100,54.95,2,202
25243409,100,17.49,2,14
25265451,50,6.78,2,29
25332778,25,2.84,1,20
25505806,310,95.01,1,42
25574780,300,48,1,5
25616237,100,27,1,8
25662876,25,4.5,1,3
25726384,100,53,1,4
25739887,100,18.33,1,8
25805370,50,8,1,2
25823715,50,4,1,1
25850415,500,871.53,2,268
25861038,50,12.25,2,7
25905591,300,291.26,2,67
25918610,25,7.9,2,72
25934703,100,39.16,1,68
25952127,100,19,1,4
25982981,75,17.53,1,96
26014807,150,24,1,4
26095154,50,8.27,1,12
26118286,100,16,1,2
26144928,500,41.98,1,30
26161779,200,56,1,7
26218416,50,4.5,2,3
26240041,500,280.16,1,15
26307407,50,13.5,1,8
26335448,100,56,2,11
26393131,50,4,1,1
26403790,100,19.11,1,11
26413171,50,7.44,2,11
26440681,50,7.13,1,6
26452889,50,0,0,0
26461342,50,6.72,1,5
26471922,50,5.5,1,2
26559711,50,4.48,1,8
26593673,100,14.14,1,85
26694895,250,57.82,1,12
26744459,50,22.49,2,113
26749011,500,515,1,14
26810665,25,4.5,1,2
26826202,50,1.91,1,10
26830058,100,6.42,1,9
26835777,25,4.38,1,2
26856200,50,5.5,1,12
26871421,25,8.7,1,11
26935419,50,0,0,0
26955836,100,92.5,2,36
26956281,50,2.53,1,20
26988391,100,20.5,2,7
27091795,50,10,1,4
27100797,50,7.42,1,9
27121500,100,34,1,5
27242478,100,44.21,1,14
27394580,300,49.9,1,4
27402213,100,15,1,1
27407312,100,40.45,2,179
27441901,50,22.33,1,2
27444394,100,98.39,1,44
27501473,50,8.38,1,5
27525703,50,9.41,1,8
27532520,200,24.38,1,30
27556099,150,23.5,1,4
27568033,100,67.9,2,203
27598665,100,16.75,1,5
27663959,100,45,1,2
27691156,30,13.25,1,32
27719558,100,16.87,1,5
27748616,200,31.9,1,17
27850828,25,21.74,2,21
27855905,50,11.02,1,16
27877371,100,28,1,5
27904604,100,18.92,1,16
27979408,50,0,0,0
27988755,25,41.75,2,12
27994707,25,12.33,1,15
28000638,100,0,0,7
28038244,100,7.33,1,2
28045638,100,19.69,1,25
28198472,25,4,1,1
28343412,25,10.75,1,12
28431967,100,0.46,1,5
28450788,50,11,1,5
28499585,400,313.32,1,79
28586606,40,7,1,4
28616534,300,83.74,1,13
28627834,100,17.5,1,6
28695592,250,108.09,2,117
28725846,50,36.1,1,20
28729708,50,7.86,1,27
28730363,900,69.03,1,16
28774179,50,23.3,2,41
28812961,2500,1232.51,2,39
28814824,125,47.04,2,48
28816797,50,25.61,1,18
28842277,50,3.3,1,2
28869341,25,4.5,1,3
28928346,50,8,1,2
28987197,50,8,1,1
28997713,50,2.33,1,17
29029529,900,946.34,2,120
29094339,100,12.75,2,4
29142349,600,102,1,5
29144654,100,2.45,1,7
29176907,100,4,1,1
29206274,100,0,0,0
29273090,50,34.62,2,41
29283703,25,0.28,1,5
29292528,100,64.24,2,25
29312483,100,15.33,1,8
29324636,100,144.5,1,21
29351580,100,46.5,1,4
29355835,50,8,1,2
29519213,50,38.74,2,49
29537575,25,5.25,1,7
29566539,1000,2618.04,2,258
